=======================================================================================
STRINGS DATA FILE
=======================================================================================

=======================================================================================
*BEGIN*
=======================================================================================

Language Version 1                                     := (English)
PlanetOwner 24                                         := [%DescriptiveWord%]
PlanetOwner 25                                         := increases
PlanetOwner 26                                         := decreases
PlanetOwner 27                                         := Population amount on the planet [%DescriptiveWord%] construction rate by [%PopModifierPercent%]%.
Politics 1                                             := Error
Politics 2                                             := War
Politics 3                                             := Non-Intercourse
Politics 4                                             := Unknown
Politics 5                                             := None
Politics 6                                             := Non-Aggression
Politics 7                                             := Subjugation
Politics 8                                             := Protectorate
Politics 9                                             := Trade Alliance
Politics 10                                            := Trade and Research Alliance
Politics 11                                            := Military Alliance
Politics 12                                            := Partnership
Politics 13                                            := Trade and Research
Politics 14                                            := The two empires are in a declared state of war.
Politics 15                                            := Ships will attack each other if in the same sector.
Politics 16                                            := The two empires agree to stay out of each other
Politics 17                                            := Ships will still fight each other if in the same sector.
Politics 18                                            := The two empires have no communication ability between each other.
Politics 19                                            := No treaty exists between the two empires.
Politics 20                                            := The two empires agree not to fight each other, and will generally
Politics 21                                            := avoid each other
Politics 22                                            := The stronger empire subjugates the weaker and makes it subserviant.
Politics 23                                            := The weaker empire is not allowed to form any treaties with other empires, and
Politics 24                                            := must pay 40% of all of its resources per turn to the stronger empire.
Politics 25                                            := The stronger empire will get to see any new vehicle designs created by the weaker empire,
Politics 26                                            := and share in all of its technological discoveries.
Politics 27                                            := This treaty can be broken by either empire at any time.
Politics 28                                            := The stronger empire promises to protect the weaker empire from other races for a price.
Politics 29                                            := The weaker empire pay 20% of all of its resources per turn to the stronger empire.
Politics 30                                            := The two empires agree to freely trade between them.
Politics 31                                            := A percentage of the resources that each empire generates
Politics 32                                            := will be created and added to the other empire
Politics 33                                            := This percentage will increase each turn until it reaches 20%.
Politics 34                                            := Same as Trade Alliance, but each player also receives an additional
Politics 35                                            := percentage of the other
Politics 36                                            := Same as Trade and Research Alliance, but each empire can also
Politics 37                                            := resupply at the other
Politics 38                                            := Same as Military Alliance. In addition, each empire can see
Politics 39                                            := exactly what the other sees. The empires generate an additional
Politics 40                                            := percentage of intelligence points for each other. Enemy designs
Politics 41                                            := are shared between the two empires.
Politics 42                                            := Pleading
Politics 43                                            := Neutral
Politics 44                                            := Demanding
Politics 45                                            := Greetings.
Politics 46                                            := Thanks for your message.
Politics 47                                            := We declare war on you!
Politics 48                                            := We surrender.
Politics 49                                            := We grant independence to our colony.
Politics 50                                            := We propose a treaty.
Politics 51                                            := We propose changes in our existing treaty.
Politics 52                                            := We accept your treaty proposal.
Politics 53                                            := We accept the changes to our existing treaty.
Politics 54                                            := We refuse your treaty proposal.
Politics 55                                            := We would like to counter your treaty proposal.
Politics 56                                            := We would like to counter your treaty changes.
Politics 57                                            := We are breaking our treaty with you.
Politics 58                                            := We propose a trade.
Politics 59                                            := We accept the trade.
Politics 60                                            := We refuse this trade.
Politics 61                                            := We would like to counter the proposed trade.
Politics 62                                            := We offer this gift.
Politics 63                                            := We accept your gift.
Politics 64                                            := We refuse your gift.
Politics 65                                            := We propose a new alliance.
Politics 66                                            := We accept your alliance proposal.
Politics 67                                            := [%AllianceName%]
Politics 68                                            := We refuse to join with you in an alliance.
Politics 69                                            := We would like to counter your alliance proposal.
Politics 70                                            := We must break with the alliance.
Politics 71                                            := We would like to change the alliance rules.
Politics 72                                            := We would like to add a new member to our alliance.
Politics 73                                            := We would like to remove a member of the alliance.
Politics 74                                            := We propose that you join our alliance.
Politics 75                                            := We accept your request.
Politics 76                                            := We refuse your request.
Politics 77                                            := We request a gift.
Politics 78                                            := We demand your surrender.
Politics 79                                            := Stop your aggression against the [%EmpireName%].
Politics 80                                            := Do not maintain a treaty with the [%EmpireName%].
Politics 81                                            := You must immediately declare war on the [%EmpireName%].
Politics 82                                            := You must make peace with the [%EmpireName%].
Politics 83                                            := We wish to join your alliance.
Politics 84                                            := We want you to break with your alliance.
Politics 85                                            := We want you to join our alliance.
Politics 86                                            := We demand that you stop your espionage attacks against us.
Politics 87                                            := You must stop your espionage attacks against the [%EmpireName%].
Politics 88                                            := We demand that you stop your sabotage attacks against us.
Politics 89                                            := You must stop your sabotage attacks against the [%EmpireName%].
Politics 90                                            := We demand that you cease all attacks in the [%SystemName%] system. 
Politics 91                                            := We are requesting military assistance against the [%EmpireName%].
Politics 92                                            := We are requesting military assistance in the [%SystemName%] system.
Politics 93                                            := [%SystemName%]
Politics 94                                            := We are requesting economic assistance.
Politics 95                                            := We are requesting technological assistance.
Politics 96                                            := We are requesting intelligence assistance.
Politics 97                                            := We are requesting intelligence assistance against the [%EmpireName%].
Politics 98                                            := We demand that you stop your border incursions.
Politics 99                                            := We demand that you stop your military attacks on us.
Politics 100                                           := You must stop your military attacks against the [%EmpireName%].
Politics 101                                           := Remove all ships from the [%SystemName%] system.
Politics 102                                           := Remove all colonies from the [%SystemName%] system.
Politics 103                                           := Message from the
Politics 104                                           := Message
Politics 105                                           := [%FromName%]
Politics 106                                           := [%TechName%]
Politics 107                                           := [%ToName%]
Politics 108                                           := [%FromEmpireName%]
Politics 109                                           := [%EOL%]
Politics 110                                           := [%MessageText%]
Politics 111                                           := [%FromAllianceName%]
Politics 112                                           := [%ItemAmount%]
Politics 113                                           := [%ItemType%]
Politics 114                                           := [%AddedMsg%]
Politics 115                                           := [%SystemName%]
Politics 116                                           := [%EmpireChannelName%]
Politics 117                                           := [%VehicleName%]
Politics 118                                           := General Message
Politics 119                                           := Reply To General Message
Politics 120                                           := Declare War
Politics 121                                           := Surrender
Politics 122                                           := Grant Independence
Politics 123                                           := Propose Treaty
Politics 124                                           := Propose Change In Treaty
Politics 125                                           := Accept Treaty Proposal
Politics 126                                           := Accept Treaty Changes
Politics 127                                           := Refuse Treaty Proposal
Politics 128                                           := Refuse Treaty Changes
Politics 129                                           := Counter Treaty Proposal
Politics 130                                           := Counter Treaty Changes
Politics 131                                           := Break Treaty
Politics 132                                           := Propose Trade
Politics 133                                           := Accept Trade
Politics 134                                           := Refuse Trade
Politics 135                                           := Counter Trade Proposal
Politics 136                                           := Give Gift
Politics 137                                           := Accept Gift
Politics 138                                           := Refuse Gift
Politics 139                                           := Propose New Alliance
Politics 140                                           := Accept Alliance Proposal
Politics 141                                           := Refuse Alliance Proposal
Politics 142                                           := Counter Alliance Proposal
Politics 143                                           := Break With Alliance
Politics 144                                           := Change Alliance Rule
Politics 145                                           := Add Empire To Alliance
Politics 146                                           := Remove Empire From Alliance
Politics 147                                           := Propose Empire Join Alliance
Politics 148                                           := Accept Request
Politics 149                                           := Refuse Request
Politics 150                                           := Want A Gift
Politics 151                                           := Demand Your Surrender
Politics 152                                           := Stop Aggression Against Empire
Politics 153                                           := Break Treaty With Empire
Politics 154                                           := Declare War On Empire
Politics 155                                           := Make Peace With Empire
Politics 156                                           := Want To Join Alliance
Politics 157                                           := Break Your Membership In Alliance
Politics 158                                           := Join Alliance
Politics 159                                           := Stop Espionage Against Us
Politics 160                                           := Stop Espionage Against Empire
Politics 161                                           := Stop Sabotage Against Us
Politics 162                                           := Stop Sabotage Against Empire
Politics 163                                           := Stop Ship Attacks In System
Politics 164                                           := Request Military Assistance
Politics 165                                           := Request Military Assistance Against Empire
Politics 166                                           := Request Military Assistance In System
Politics 167                                           := Request Economic Assistance
Politics 168                                           := Request Technological Assistance
Politics 169                                           := Request Intelligence Assistance
Politics 170                                           := Request Intelligence Assistance Against Empire
Politics 171                                           := Stop Border Incursions
Politics 172                                           := Stop Military Attacks On Us
Politics 173                                           := Stop Military Attacks Against Empire
Politics 174                                           := Remove Ships From System
Politics 175                                           := Remove Colonies From System
Politics 176                                           := [%TradePct%]% (increases up to [%MaxTrade%]%)
Politics 177                                           := [%TradePct%]
Politics 178                                           := [%MaxTrade%]
Politics 179                                           := 0%
Politics 180                                           := Message Sent
Politics 181                                           := Message sent to the
Politics 182                                           := We request immediate military assistance. 
Politics 183                                           := [%EmpireName%]
Politics 184                                           := [%VehicleNames%]
Politics 185                                           := [%MineralAmount%]
Politics 186                                           := [%OrganicsAmount%]
Politics 187                                           := [%RadAmount%]
Politics_AllianceProposal 1                            := Propose Rule Change
Politics_AllianceProposal 2                            := Propose Add Member
Politics_AllianceProposal 3                            := Propose Remove Member
Politics_AllianceProposal 4                            := Propose New Message
Politics_AllianceProposal 5                            := Propose Reply To Message
Politics_AllianceProposal 6                            := Waiting For Votes
Politics_AllianceProposal 7                            := Passed
Politics_AllianceProposal 8                            := Failed
Politics_AllianceRules 1                               := Votes Per Empire
Politics_AllianceRules 2                               := Proposal Passage
Politics_AllianceRules 3                               := Adding New Members
Politics_AllianceRules 4                               := Trade Percentage
Politics_AllianceRules 5                               := Cultural Exchange Percentage
Politics_AllianceRules 6                               := Non Aggression
Politics_AllianceRules 7                               := Mutual Defense Pact
Politics_AllianceRules 8                               := Allow Migration Between Colonies
Politics_AllianceRules 9                               := Share Resupply
Politics_AllianceRules 10                              := Share Repair
Politics_AllianceRules 11                              := Share Emergency Medical Care
Politics_AllianceRules 12                              := Share Technology
Politics_AllianceRules 13                              := Share System Maps
Politics_AllianceRules 14                              := Share Communication Channels
Politics_AllianceRules 15                              := Share Espionage Information
Politics_AllianceRules 16                              := Share Sensor Information
Politics_AllianceRules 17                              := Share Vehicle Designs
Politics_AllianceRules 18                              := Share Combat Reports
Politics_AllianceRules 19                              := Share Minefield Codes
Politics_AllianceRules 20                              := No Research Allowed
Politics_AllianceRules 21                              := No Intelligence Allowed
Politics_AllianceRules 22                              := No Planetary Bomardment
Politics_AllianceRules 23                              := No Viral Weapons
Politics_AllianceRules 24                              := No Planet Destroying
Politics_AllianceRules 25                              := No Star Destroying
Politics_AllianceRules 26                              := No Black Hole Creation
Politics_AllianceRules 27                              := No Nebulae Creation
Politics_AllianceRules 28                              := No Cloaking
Politics_AllianceRules 29                              := All empires get 1 vote.
Politics_AllianceRules 30                              := Empires get 1 vote for each colony they have.
Politics_AllianceRules 31                              := Empires get 1 vote for each 1 billion in population (with a minimum of 1 vote).
Politics_AllianceRules 32                              := Empires get 1 vote for each 1000 in score they have.
Politics_AllianceRules 33                              := Proposals pass if they get at least 50% of the alliance votes.
Politics_AllianceRules 34                              := Proposals pass if they get at least 60% of the alliance votes.
Politics_AllianceRules 35                              := Proposals pass if they get at least 70% of the alliance votes.
Politics_AllianceRules 36                              := Proposals pass if they get at least 80% of the alliance votes.
Politics_AllianceRules 37                              := Proposals pass if they get at least 90% of the alliance votes.
Politics_AllianceRules 38                              := Proposals pass if they get 100% of the alliance votes.
Politics_AllianceRules 39                              := New alliance members can never be added.
Politics_AllianceRules 40                              := Only 1 alliance member can be added every year.
Politics_AllianceRules 41                              := Only 1 alliance member can be added every 5 years.
Politics_AllianceRules 42                              := New alliance members can be added anytime.
Politics_AllianceRules 43                              := Empires will trade up to a maximum of 5% (of the smallest empire's net worth).
Politics_AllianceRules 44                              := Empires will trade up to a maximum of 10% (of the smallest empire's net worth).
Politics_AllianceRules 45                              := Empires will trade up to a maximum of 15% (of the smallest empire's net worth).
Politics_AllianceRules 46                              := Empires will trade up to a maximum of 20% (of the smallest empire's net worth).
Politics_AllianceRules 47                              := Empires will trade up to a maximum of 25% (of the smallest empire's net worth).
Politics_AllianceRules 48                              := Empires will trade up to a maximum of 30% (of the smallest empire's net worth).
Politics_AllianceRules 49                              := Empires will allow cultural trade up to a maximum of 5% (of the smallest empire's cultural worth).
Politics_AllianceRules 50                              := Empires will allow cultural trade up to a maximum of 10% (of the smallest empire's cultural worth).
Politics_AllianceRules 51                              := Empires will allow cultural trade up to a maximum of 15% (of the smallest empire's cultural worth).
Politics_AllianceRules 52                              := Empires will allow cultural trade up to a maximum of 20% (of the smallest empire's cultural worth).
Politics_AllianceRules 53                              := Empires will allow cultural trade up to a maximum of 25% (of the smallest empire's cultural worth).
Politics_AllianceRules 54                              := Empires will allow cultural trade up to a maximum of 30% (of the smallest empire's cultural worth).
Politics_AllianceRules 55                              := In neutral space (non colony systems).
Politics_AllianceRules 56                              := In all systems.
Politics_AllianceRules 57                              := Allow colonization in each others systems.
Politics_AllianceRules 58                              := Empires will assist each other militarily when attacked.
Politics_AllianceRules 59                              := Between all empires.
Politics_AllianceRules 60                              := Empires share resupply depot usage with the other.
Politics_AllianceRules 61                              := Empires share ship repair with the other.
Politics_AllianceRules 62                              := Empires share emergency medical care with the other.
Politics_AllianceRules 63                              := Empires share older technologies with each other (4 levels old).
Politics_AllianceRules 64                              := Empires share recent technologies with each other (2 levels old).
Politics_AllianceRules 65                              := Empires share current technologies with each other.
Politics_AllianceRules 66                              := Empires share all technologies (including racial and unique) with each other.
Politics_AllianceRules 67                              := Empires share system maps with the other.
Politics_AllianceRules 68                              := Empires share communication channels with the other.
Politics_AllianceRules 69                              := Empires share general espionage information with the other.
Politics_AllianceRules 70                              := Empires share secret espionage information with the other.
Politics_AllianceRules 71                              := Empires share views of its normal ships with the other.
Politics_AllianceRules 72                              := Empires share views of all of its ships (including cloaked) with the other.
Politics_AllianceRules 73                              := Empires share enemy designs with the other.
Politics_AllianceRules 74                              := Empires share all of its designs with the other.
Politics_AllianceRules 75                              := Empires share combat reports with each other.
Politics_AllianceRules 76                              := Empires share minefield codes with each other.
Politics_AllianceRules 77                              := Empires cannot perform research.
Politics_AllianceRules 78                              := Empires cannot perform intelligence.
Politics_AllianceRules 79                              := Empires cannot bombard planets.
Politics_AllianceRules 80                              := Empires cannot use viral weapons.
Politics_AllianceRules 81                              := Empires cannot destroy entire planets.
Politics_AllianceRules 82                              := Empires cannot destroy entire stars.
Politics_AllianceRules 83                              := Empires cannot create Black Holes.
Politics_AllianceRules 84                              := Empires cannot create Nebulae.
Politics_AllianceRules 85                              := Empires cannot use cloaking.
Politics_MessagePackage 1                              := System
Politics_MessagePackage 2                              := Planet
Politics_MessagePackage 3                              := Resource
Politics_MessagePackage 4                              := Technology
Politics_MessagePackage 5                              := Ship
Politics_MessagePackage 6                              := Star Chart
Politics_MessagePackage 7                              := Treaty
Politics_MessagePackage 8                              := Comm Channel
Politics_MessagePackage 9                              := Any Planet
Politics_MessagePackage 10                             := Any Tech Area
Politics_MessagePackage 11                             := Any Ship
Politics_MessagePackage 12                             := Any Starchart
Politics_MessagePackage 13                             := Any Comm Channel
Politics_MessagePackage 14                             := Item Unavailable
Politics_MessagePackage 15                             := Any System
Politics_MessagePackage 16                             := Any Resource
Politics_MessagePackage 17                             := Any Treaty
Politics_MessagePackage 18                             := (Unavailable System)
Politics_MessagePackage 19                             := (Unavailable Planet)
Politics_MessagePackage 20                             := (Unavailable Technology Area)
Politics_MessagePackage 21                             := (Unavailable Ship)
Politics_PoliticalStatus 1                             := None
Politics_PoliticalStatus 2                             := War
Politics_TreatyElements 1                              := Trade Percentage
Politics_TreatyElements 2                              := Cultural Exchange Percentage
Politics_TreatyElements 3                              := Non Aggression
Politics_TreatyElements 4                              := Mutual Defense Pact
Politics_TreatyElements 5                              := Allow Migration Between Colonies
Politics_TreatyElements 6                              := Treaties With Others
Politics_TreatyElements 7                              := Share Resupply
Politics_TreatyElements 8                              := Share Repair
Politics_TreatyElements 9                              := Share Emergency Medical Care
Politics_TreatyElements 10                             := Share Technology
Politics_TreatyElements 11                             := Share System Maps
Politics_TreatyElements 12                             := Share Communication Channels
Politics_TreatyElements 13                             := Share Espionage Information
Politics_TreatyElements 14                             := Share Sensor Information
Politics_TreatyElements 15                             := Share Vehicle Designs
Politics_TreatyElements 16                             := Share Combat Reports
Politics_TreatyElements 17                             := Share Minefield Codes
Politics_TreatyElements 18                             := No Research Allowed
Politics_TreatyElements 19                             := No Intelligence Allowed
Politics_TreatyElements 20                             := No Planetary Bomardment
Politics_TreatyElements 21                             := No Viral Weapons
Politics_TreatyElements 22                             := No Planet Destroying
Politics_TreatyElements 23                             := No Star Destroying
Politics_TreatyElements 24                             := No Black Hole Creation
Politics_TreatyElements 25                             := No Nebulae Creation
Politics_TreatyElements 26                             := No Cloaking
Politics_TreatyElements 27                             := Resource Tarriff
Politics_TreatyElements 28                             := Galactic News
Politics_TreatyElements 29                             := Empires will trade up to a maximum of 5% (of the smaller empire's net worth).
Politics_TreatyElements 30                             := Empires will trade up to a maximum of 10% (of the smaller empire's net worth).
Politics_TreatyElements 31                             := Empires will trade up to a maximum of 15% (of the smaller empire's net worth).
Politics_TreatyElements 32                             := Empires will trade up to a maximum of 20% (of the smaller empire's net worth).
Politics_TreatyElements 33                             := Empires will trade up to a maximum of 25% (of the smaller empire's net worth).
Politics_TreatyElements 34                             := Empires will trade up to a maximum of 30% (of the smaller empire's net worth).
Politics_TreatyElements 35                             := Empires will allow cultural trade up to a maximum of 5% (of the smaller empire's cultural worth).
Politics_TreatyElements 36                             := Empires will allow cultural trade up to a maximum of 10% (of the smaller empire's cultural worth).
Politics_TreatyElements 37                             := Empires will allow cultural trade up to a maximum of 15% (of the smaller empire's cultural worth).
Politics_TreatyElements 38                             := Empires will allow cultural trade up to a maximum of 20% (of the smaller empire's cultural worth).
Politics_TreatyElements 39                             := Empires will allow cultural trade up to a maximum of 25% (of the smaller empire's cultural worth).
Politics_TreatyElements 40                             := Empires will allow cultural trade up to a maximum of 30% (of the smaller empire's cultural worth).
Politics_TreatyElements 41                             := In neutral space (non colony systems).
Politics_TreatyElements 42                             := In all systems.
Politics_TreatyElements 43                             := Allow colonization in each others systems.
Politics_TreatyElements 44                             := Empires will assist each other militarily when attacked.
Politics_TreatyElements 45                             := The [%EmpireA%] to [%EmpireB%] only.
Politics_TreatyElements 46                             := The [%EmpireB%] to [%EmpireA%] only.
Politics_TreatyElements 47                             := Between both empires.
Politics_TreatyElements 48                             := The [%EmpireA%] cannot have treaty with any other empires.
Politics_TreatyElements 49                             := The [%EmpireA%] cannot have treaty or alliance with any other empires.
Politics_TreatyElements 50                             := The [%EmpireB%] cannot have treaty with any other empires.
Politics_TreatyElements 51                             := The [%EmpireB%] cannot have treaty or alliance with any other empires.
Politics_TreatyElements 52                             := Both empires cannot have treaty with any other empires.
Politics_TreatyElements 53                             := Both empires cannot have alliance or treaty with any other empires.
Politics_TreatyElements 54                             := The [%EmpireA%] shares resupply depots with the [%EmpireB%].
Politics_TreatyElements 55                             := The [%EmpireB%] shares resupply depots with the [%EmpireA%].
Politics_TreatyElements 56                             := Both empires share resupply depot usage with the other.
Politics_TreatyElements 57                             := The [%EmpireA%] shares ship repair with the [%EmpireB%].
Politics_TreatyElements 58                             := The [%EmpireB%] shares ship repair with the [%EmpireA%].
Politics_TreatyElements 59                             := Both empires share ship repair with the other.
Politics_TreatyElements 60                             := The [%EmpireA%] shares emergency medical care with the [%EmpireB%].
Politics_TreatyElements 61                             := The [%EmpireB%] shares emergency medical care with the [%EmpireA%].
Politics_TreatyElements 62                             := Both empires share emergency medical care with the other.
Politics_TreatyElements 63                             := The [%EmpireA%] shares older technologies with the [%EmpireB%] (4 levels old).
Politics_TreatyElements 64                             := The [%EmpireA%] shares recent technologies with the [%EmpireB%] (2 levels old).
Politics_TreatyElements 65                             := The [%EmpireA%] shares current technologies with the [%EmpireB%].
Politics_TreatyElements 66                             := The [%EmpireA%] shares all technologies (including racial and unique) with the [%EmpireB%].
Politics_TreatyElements 67                             := The [%EmpireB%] shares older technologies with the [%EmpireA%] (4 levels old).
Politics_TreatyElements 68                             := The [%EmpireB%] shares recent technologies with the [%EmpireA%] (2 levels old).
Politics_TreatyElements 69                             := The [%EmpireB%] shares current technologies with the [%EmpireA%].
Politics_TreatyElements 70                             := The [%EmpireB%] shares all technologies (including racial and unique) with the [%EmpireA%].
Politics_TreatyElements 71                             := Both empires share older technologies with each other (4 levels old).
Politics_TreatyElements 72                             := Both empires share recent technologies with each other (2 levels old).
Politics_TreatyElements 73                             := Both empires share current technologies with each other.
Politics_TreatyElements 74                             := Both empires share all technologies (including racial and unique) with each other.
Politics_TreatyElements 75                             := The [%EmpireA%] shares system maps with the [%EmpireB%].
Politics_TreatyElements 76                             := The [%EmpireB%] shares system maps with the [%EmpireA%].
Politics_TreatyElements 77                             := Both empires share system maps with the other.
Politics_TreatyElements 78                             := The [%EmpireA%] shares communication channels with the [%EmpireB%].
Politics_TreatyElements 79                             := The [%EmpireB%] shares communication channels with the [%EmpireA%].
Politics_TreatyElements 80                             := Both empires share communication channels with the other.
Politics_TreatyElements 81                             := The [%EmpireA%] shares espionage information with the [%EmpireB%].
Politics_TreatyElements 82                             := The [%EmpireA%] shares secret espionage information with the [%EmpireB%].
Politics_TreatyElements 83                             := The [%EmpireB%] shares espionage information with the [%EmpireA%].
Politics_TreatyElements 84                             := The [%EmpireB%] shares secret espionage information with the [%EmpireA%].
Politics_TreatyElements 85                             := Both empires share espionage information with the other.
Politics_TreatyElements 86                             := Both empires share secret espionage information with the other.
Politics_TreatyElements 87                             := The [%EmpireA%] shares views of its normal ships with the [%EmpireB%].
Politics_TreatyElements 88                             := The [%EmpireA%] shares views of all of its ships (including cloaked) with the [%EmpireB%].
Politics_TreatyElements 89                             := The [%EmpireB%] shares views of its normal ships with the [%EmpireA%].
Politics_TreatyElements 90                             := The [%EmpireB%] shares views of all of its ships (including cloaked) with the [%EmpireA%].
Politics_TreatyElements 91                             := Both empires share views of its normal ships with the other.
Politics_TreatyElements 92                             := Both empires share views of all of its ships (including cloaked) with the other.
Politics_TreatyElements 93                             := The [%EmpireA%] shares enemy designs with the [%EmpireB%].
Politics_TreatyElements 94                             := The [%EmpireA%] shares all of its designs with the [%EmpireB%].
Politics_TreatyElements 95                             := The [%EmpireB%] shares enemy designs with the [%EmpireA%].
Politics_TreatyElements 96                             := The [%EmpireB%] shares all of its designs with the [%EmpireA%].
Politics_TreatyElements 97                             := Both empires share enemy designs with the other.
Politics_TreatyElements 98                             := Both empires share all of its designs with the other.
Politics_TreatyElements 99                             := The [%EmpireA%] shares combat reports with the [%EmpireB%].
Politics_TreatyElements 100                            := The [%EmpireB%] shares combat reports with the [%EmpireA%].
Politics_TreatyElements 101                            := Both empires share combat reports with each other.
Politics_TreatyElements 102                            := The [%EmpireA%] shares minefield codes with the [%EmpireB%].
Politics_TreatyElements 103                            := The [%EmpireB%] shares minefield codes with the [%EmpireA%].
Politics_TreatyElements 104                            := Both empires share minefield codes with each other.
Politics_TreatyElements 105                            := The [%EmpireA%] cannot perform research.
Politics_TreatyElements 106                            := The [%EmpireB%] cannot perform research.
Politics_TreatyElements 107                            := Both empires cannot perform research.
Politics_TreatyElements 108                            := The [%EmpireA%] cannot perform intelligence.
Politics_TreatyElements 109                            := The [%EmpireB%] cannot perform intelligence.
Politics_TreatyElements 110                            := Both empires cannot perform intelligence.
Politics_TreatyElements 111                            := The [%EmpireA%] cannot bombard planets.
Politics_TreatyElements 112                            := The [%EmpireB%] cannot bombard planets.
Politics_TreatyElements 113                            := Both empires cannot bombard planets.
Politics_TreatyElements 114                            := The [%EmpireA%] cannot use viral weapons.
Politics_TreatyElements 115                            := The [%EmpireB%] cannot use viral weapons.
Politics_TreatyElements 116                            := Both empires cannot use viral weapons.
Politics_TreatyElements 117                            := The [%EmpireA%] cannot destroy entire planets.
Politics_TreatyElements 118                            := The [%EmpireB%] cannot destroy entire planets.
Politics_TreatyElements 119                            := Both empires cannot destroy entire planets.
Politics_TreatyElements 120                            := The [%EmpireA%] cannot destroy entire stars.
Politics_TreatyElements 121                            := The [%EmpireB%] cannot destroy entire stars.
Politics_TreatyElements 122                            := Both empires cannot destroy entire stars.
Politics_TreatyElements 123                            := The [%EmpireA%] cannot create Black Holes.
Politics_TreatyElements 124                            := The [%EmpireB%] cannot create Black Holes.
Politics_TreatyElements 125                            := Both empires cannot create Black Holes.
Politics_TreatyElements 126                            := The [%EmpireA%] cannot create Nebulae.
Politics_TreatyElements 127                            := The [%EmpireB%] cannot create Nebulae.
Politics_TreatyElements 128                            := Both empires cannot create Nebulae.
Politics_TreatyElements 129                            := The [%EmpireA%] cannot use cloaking.
Politics_TreatyElements 130                            := The [%EmpireB%] cannot use cloaking.
Politics_TreatyElements 131                            := Both empires cannot use cloaking.
Politics_TreatyElements 132                            := The [%EmpireA%] will provide 5% of its resources to the [%EmpireB%] each turn.
Politics_TreatyElements 133                            := The [%EmpireA%] will provide 10% of its resources to the [%EmpireB%] each turn.
Politics_TreatyElements 134                            := The [%EmpireA%] will provide 15% of its resources to the [%EmpireB%] each turn.
Politics_TreatyElements 135                            := The [%EmpireA%] will provide 20% of its resources to the [%EmpireB%] each turn.
Politics_TreatyElements 136                            := The [%EmpireA%] will provide 25% of its resources to the [%EmpireB%] each turn.
Politics_TreatyElements 137                            := The [%EmpireA%] will provide 30% of its resources to the [%EmpireB%] each turn.
Politics_TreatyElements 138                            := The [%EmpireA%] will provide 40% of its resources to the [%EmpireB%] each turn.
Politics_TreatyElements 139                            := The [%EmpireA%] will provide 50% of its resources to the [%EmpireB%] each turn.
Politics_TreatyElements 140                            := The [%EmpireB%] will provide 5% of its resources to the [%EmpireA%] each turn.
Politics_TreatyElements 141                            := The [%EmpireB%] will provide 10% of its resources to the [%EmpireA%] each turn.
Politics_TreatyElements 142                            := The [%EmpireB%] will provide 15% of its resources to the [%EmpireA%] each turn.
Politics_TreatyElements 143                            := The [%EmpireB%] will provide 20% of its resources to the [%EmpireA%] each turn.
Politics_TreatyElements 144                            := The [%EmpireB%] will provide 25% of its resources to the [%EmpireA%] each turn.
Politics_TreatyElements 145                            := The [%EmpireB%] will provide 30% of its resources to the [%EmpireA%] each turn.
Politics_TreatyElements 146                            := The [%EmpireB%] will provide 40% of its resources to the [%EmpireA%] each turn.
Politics_TreatyElements 147                            := The [%EmpireB%] will provide 50% of its resources to the [%EmpireA%] each turn.
