=======================================================================================
STELLAR OBJECT TYPES DATA FILE
=======================================================================================

Maximum Stellar Object Types Allowed = 1000

Allowable Values for Physical Type: 
  None, Planet, Asteroids, Storm, Star, Warp Point, Destroyed Star, Comet

Allowable Values for Planet Size:
  Asteroids, Tiny, Small, Medium, Large, Huge

Allowable Values for Planet Physical Type:
  Rock, Ice, Gas Giant

Allowable Values for Planet Atmosphere:
  None, Methane, Oxygen, Hydrogen, Carbon Dioxide

NOTE: The following combinations of plant physical type and atmosphere are 
not allowed: Gas Giant x None.

Allowable Values for all other sizes:
  Tiny, Small, Medium, Large, Huge

Allowable Values for Star Age:
  Young, Average, Old, Ancient

Allowable Values for Star Color:
  Yellow, Red, Purple, Green, Blue, White, Orange

Allowable Values for Star Luminosity:
  Dim, Average, Bright

None           - Gray
Picture Index              := 346
Portrait Filename          := planet_moon_0017_huge.bmp
Large Portrait Filename    := planet_moon_0017_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0018 Huge
Physical Type              := Planet
XFile Class Name           := Planet Moon 0018 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 351
Portrait Filename          := planet_moon_0018_huge.bmp
Large Portrait Filename    := planet_moon_0018_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0002 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0002 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 501
Portrait Filename          := planet_ven_0002_huge.bmp
Large Portrait Filename    := planet_ven_0002_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0006 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0006 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 521
Portrait Filename          := planet_ven_0006_huge.bmp
Large Portrait Filename    := planet_ven_0006_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0008 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0008 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 531
Portrait Filename          := planet_ven_0008_huge.bmp
Large Portrait Filename    := planet_ven_0008_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0009 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0009 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 536
Portrait Filename          := planet_ven_0009_huge.bmp
Large Portrait Filename    := planet_ven_0009_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0024 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0024 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 611
Portrait Filename          := planet_ven_0024_huge.bmp
Large Portrait Filename    := planet_ven_0024_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0025 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0025 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 616
Portrait Filename          := planet_ven_0025_huge.bmp
Large Portrait Filename    := planet_ven_0025_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0026 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0026 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 621
Portrait Filename          := planet_ven_0026_huge.bmp
Large Portrait Filename    := planet_ven_0026_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Terr 0006 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0006 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 401
Portrait Filename          := planet_terr_0006_huge.bmp
Large Portrait Filename    := planet_terr_0006_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0010 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0010 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 541
Portrait Filename          := planet_ven_0010_huge.bmp
Large Portrait Filename    := planet_ven_0010_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0018 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0018 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 581
Portrait Filename          := planet_ven_0018_huge.bmp
Large Portrait Filename    := planet_ven_0018_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0022 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0022 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 601
Portrait Filename          := planet_ven_0022_huge.bmp
Large Portrait Filename    := planet_ven_0022_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Ven 0023 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0023 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 606
Portrait Filename          := planet_ven_0023_huge.bmp
Large Portrait Filename    := planet_ven_0023_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Methane_Colonized.bmp

Stellar Object Name        := Planet Terr 0001 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0001 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 376
Portrait Filename          := planet_terr_0001_huge.bmp
Large Portrait Filename    := planet_terr_0001_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0003 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0003 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 386
Portrait Filename          := planet_terr_0003_huge.bmp
Large Portrait Filename    := planet_terr_0003_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0004 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0004 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 391
Portrait Filename          := planet_terr_0004_huge.bmp
Large Portrait Filename    := planet_terr_0004_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0005 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0005 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 396
Portrait Filename          := planet_terr_0005_huge.bmp
Large Portrait Filename    := planet_terr_0005_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0007 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0007 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 406
Portrait Filename          := planet_terr_0007_huge.bmp
Large Portrait Filename    := planet_terr_0007_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0008 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0008 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 411
Portrait Filename          := planet_terr_0008_huge.bmp
Large Portrait Filename    := planet_terr_0008_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0009 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0009 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 416
Portrait Filename          := planet_terr_0009_huge.bmp
Large Portrait Filename    := planet_terr_0009_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0010 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0010 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 421
Portrait Filename          := planet_terr_0010_huge.bmp
Large Portrait Filename    := planet_terr_0010_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0011 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0011 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 426
Portrait Filename          := planet_terr_0011_huge.bmp
Large Portrait Filename    := planet_terr_0011_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0012 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0012 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 431
Portrait Filename          := planet_terr_0012_huge.bmp
Large Portrait Filename    := planet_terr_0012_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0013 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0013 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 436
Portrait Filename          := planet_terr_0013_huge.bmp
Large Portrait Filename    := planet_terr_0013_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0014 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0014 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 441
Portrait Filename          := planet_terr_0014_huge.bmp
Large Portrait Filename    := planet_terr_0014_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0015 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0015 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 446
Portrait Filename          := planet_terr_0015_huge.bmp
Large Portrait Filename    := planet_terr_0015_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0016 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0016 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 451
Portrait Filename          := planet_terr_0016_huge.bmp
Large Portrait Filename    := planet_terr_0016_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0017 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0017 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 456
Portrait Filename          := planet_terr_0017_huge.bmp
Large Portrait Filename    := planet_terr_0017_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0018 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0018 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 461
Portrait Filename          := planet_terr_0018_huge.bmp
Large Portrait Filename    := planet_terr_0018_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0019 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0019 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 466
Portrait Filename          := planet_terr_0019_huge.bmp
Large Portrait Filename    := planet_terr_0019_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0020 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0020 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 471
Portrait Filename          := planet_terr_0020_huge.bmp
Large Portrait Filename    := planet_terr_0020_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0021 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0021 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 476
Portrait Filename          := planet_terr_0021_huge.bmp
Large Portrait Filename    := planet_terr_0021_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Terr 0022 Huge
Physical Type              := Planet
XFile Class Name           := Planet Terr 0022 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 481
Portrait Filename          := planet_terr_0022_huge.bmp
Large Portrait Filename    := planet_terr_0022_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Ven 0001 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0001 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 496
Portrait Filename          := planet_ven_0001_huge.bmp
Large Portrait Filename    := planet_ven_0001_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Ven 0005 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0005 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 516
Portrait Filename          := planet_ven_0005_huge.bmp
Large Portrait Filename    := planet_ven_0005_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Ven 0003 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0003 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 506
Portrait Filename          := planet_ven_0003_huge.bmp
Large Portrait Filename    := planet_ven_0003_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0004 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0004 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 511
Portrait Filename          := planet_ven_0004_huge.bmp
Large Portrait Filename    := planet_ven_0004_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0012 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0012 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 551
Portrait Filename          := planet_ven_0012_huge.bmp
Large Portrait Filename    := planet_ven_0012_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0013 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0013 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 556
Portrait Filename          := planet_ven_0013_huge.bmp
Large Portrait Filename    := planet_ven_0013_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0014 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0014 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 561
Portrait Filename          := planet_ven_0014_huge.bmp
Large Portrait Filename    := planet_ven_0014_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Rock
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Ven 0015 Huge
Physical Type              := Planet
XFile Class Name           := Planet Ven 0015 Huge
Maximum Model Size         := 16.0
Hex Size                   := 1
Picture Index              := 566
